N_vals,throughput,stationary
1,2.0,0.0
2,2.0,0.0
3,2.0,0.0
4,2.0,0.0
5,2.0,0.0
6,2.0,0.0
7,2.0,0.0
8,2.0,0.0
9,1.0,0.0
10,3.0,0.0
11,2.0,0.0
12,2.0,0.0
13,2.0,0.0
14,1.0,0.0
15,2.0,0.0
16,3.0,0.0
17,1.0,0.0
18,3.0,0.0
19,1.0,0.0
20,3.0,0.0
21,1.0,0.0
22,2.0,0.0
23,2.0,0.0
24,1.0,0.0
25,3.0,0.0
26,2.0,0.0
27,2.0,0.0
28,3.0,0.0
29,1.0,0.0
30,2.0,0.0
31,2.0,0.0
32,3.0,0.0
33,1.0,0.0
34,2.0,0.0
35,1.0,0.0
36,1.0,0.0
37,4.0,0.0
38,2.0,0.0
39,2.0,0.0
40,1.0,0.0
41,3.0,0.0
42,1.0,0.0
43,2.0,0.0
44,3.0,0.0
45,1.0,0.0
46,2.0,0.0
47,3.0,0.0
48,2.0,0.0
49,1.0,0.0
50,1.0,0.0
51,2.0,0.0
52,3.0,0.0
53,3.0,0.0
54,1.0,0.0
55,2.0,0.0
56,2.0,0.0
57,1.0,0.0
58,1.0,0.0
59,3.0,0.0
60,2.0,0.0
61,2.0,0.0
62,1.0,0.0
63,2.0,0.0
64,3.0,0.0
65,2.0,0.0
66,0.0,0.0
67,4.0,0.0
68,1.0,0.0
69,3.0,0.0
70,1.0,0.0
71,1.0,0.0
72,3.0,0.0
73,2.0,0.0
74,1.0,0.0
75,3.0,0.0
76,2.0,0.0
77,3.0,0.0
78,0.0,0.0
79,3.0,0.0
80,3.0,0.0
81,1.0,0.0
82,2.0,0.0
83,3.0,0.0
84,1.0,0.0
85,2.0,0.0
86,2.0,0.0
87,2.0,0.0
88,2.0,0.0
89,1.0,0.0
90,4.0,0.0
91,2.0,0.0
92,1.0,0.0
93,0.0,0.0
94,4.0,0.0
95,1.0,0.0
96,3.0,0.0
97,1.0,0.0
98,2.0,0.0
99,2.0,0.0
100,2.0,0.0
101,2.0,0.0
102,0.0,0.0
103,4.0,0.0
104,2.0,0.0
105,2.0,0.0
106,2.0,0.0
107,2.0,0.0
108,2.0,0.0
109,2.0,0.0
110,1.0,0.0
111,2.0,0.0
112,1.0,0.0
113,3.0,0.0
114,1.0,0.0
115,1.0,0.0
116,4.0,0.0
117,2.0,0.0
118,2.0,0.0
119,2.0,0.0
120,2.0,0.0
121,1.0,0.0
122,2.0,0.0
123,1.0,0.0
124,3.0,0.0
125,2.0,0.0
126,1.0,0.0
127,2.0,0.0
128,2.0,0.0
129,3.0,0.0
130,2.0,0.0
131,2.0,0.0
132,1.0,0.0
133,2.0,0.0
134,2.0,0.0
135,3.0,0.0
136,3.0,0.0
137,1.0,0.0
138,2.0,0.0
139,2.0,0.0
140,1.0,0.0
141,3.0,0.0
142,2.0,0.0
143,3.0,0.0
144,0.0,0.0
145,2.0,0.0
146,1.0,0.0
147,3.0,0.0
148,4.0,0.0
149,1.0,0.0
150,1.0,0.0
151,3.0,0.0
152,1.0,0.0
153,2.0,0.0
154,2.0,0.0
155,2.0,0.0
156,2.0,0.0
157,2.0,0.0
158,2.0,0.0
159,2.0,0.0
160,0.0,0.0
161,3.0,0.0
162,4.0,0.0
163,1.0,0.0
164,2.0,0.0
165,2.0,0.0
166,1.0,0.0
167,2.0,0.0
168,3.0,0.0
169,1.0,0.0
170,2.0,0.0
171,3.0,0.0
172,1.0,0.0
173,0.0,0.0
174,3.0,0.0
175,3.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,5.0,0.0
180,0.0,0.0
181,2.0,0.0
182,3.0,0.0
183,2.0,0.0
184,4.0,0.0
185,1.0,0.0
186,0.0,0.0
187,4.0,0.0
188,1.0,0.0
189,1.0,0.0
190,3.0,0.0
191,2.0,0.0
192,1.0,0.0
193,2.0,0.0
194,1.0,0.0
195,3.0,0.0
196,3.0,0.0
197,2.0,0.0
198,1.0,0.0
199,2.0,0.0
200,3.0,0.0
201,2.0,0.0
202,2.0,0.0
203,0.0,0.0
204,3.0,0.0
205,2.0,0.0
206,2.0,0.0
207,1.0,0.0
208,2.0,0.0
209,2.0,0.0
210,1.0,0.0
211,3.0,0.0
212,3.0,0.0
213,2.0,0.0
214,0.0,0.0
215,4.0,0.0
216,2.0,0.0
217,3.0,0.0
218,1.0,0.0
219,1.0,0.0
220,2.0,0.0
221,1.0,0.0
222,1.0,0.0
223,2.0,0.0
224,4.0,0.0
225,2.0,0.0
226,0.0,0.0
227,2.0,0.0
228,3.0,0.0
229,2.0,0.0
230,2.0,0.0
231,1.0,0.0
232,1.0,0.0
233,2.0,0.0
234,3.0,0.0
235,4.0,0.0
236,1.0,0.0
237,1.0,0.0
238,2.0,0.0
239,3.0,0.0
240,0.0,0.0
241,3.0,0.0
242,3.0,0.0
243,2.0,0.0
244,0.0,0.0
245,2.0,0.0
246,1.0,0.0
247,5.0,0.0
248,0.0,0.0
249,1.0,0.0
250,2.0,0.0
251,4.0,0.0
252,2.0,0.0
253,3.0,0.0
254,2.0,0.0
255,1.0,0.0
256,1.0,0.0
257,3.0,0.0
258,1.0,0.0
259,2.0,0.0
260,3.0,0.0
261,2.0,0.0
262,2.0,0.0
263,2.0,0.0
264,1.0,0.0
265,2.0,0.0
266,2.0,0.0
267,3.0,0.0
268,2.0,0.0
269,1.0,0.0
270,1.0,0.0
271,2.0,0.0
272,3.0,0.0
273,3.0,0.0
274,1.0,0.0
275,2.0,0.0
276,2.0,0.0
277,2.0,0.0
278,1.0,0.0
279,2.0,0.0
280,4.0,0.0
281,0.0,0.0
282,2.0,0.0
283,3.0,0.0
284,1.0,0.0
285,2.0,0.0
286,0.0,0.0
287,2.0,0.0
288,4.0,0.0
289,3.0,0.0
290,2.0,0.0
291,1.0,0.0
292,2.0,0.0
293,1.0,0.0
294,3.0,0.0
295,3.0,0.0
296,1.0,0.0
297,3.0,0.0
298,1.0,0.0
299,2.0,0.0
