step,throughput,stationary
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,2.0,0.0
9,1.0,0.0
10,0.0,0.0
11,2.0,0.0
12,0.0,0.0
13,2.0,0.0
14,1.0,0.0
15,1.0,0.0
16,2.0,0.0
17,1.0,0.0
18,0.0,0.0
19,1.0,0.0
20,2.0,0.0
21,0.0,0.0
22,2.0,0.0
23,1.0,0.0
24,0.0,0.0
25,2.0,0.0
26,1.0,0.0
27,1.0,0.0
28,2.0,0.0
29,0.0,0.0
30,2.0,0.0
31,0.0,0.0
32,3.0,0.0
33,0.0,0.0
34,0.0,0.0
35,2.0,0.0
36,1.0,0.0
37,0.0,0.0
38,2.0,0.0
39,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,0.0
43,2.0,0.0
44,1.0,0.0
45,2.0,0.0
46,0.0,0.0
47,2.0,0.0
48,1.0,0.0
49,1.0,0.0
50,2.0,0.0
51,1.0,0.0
52,0.0,0.0
53,1.0,0.0
54,1.0,0.0
55,1.0,0.0
56,1.0,0.0
57,1.0,0.0
58,1.0,0.0
59,1.0,0.0
60,1.0,0.0
61,2.0,0.0
62,0.0,0.0
63,2.0,0.0
64,1.0,0.0
65,2.0,0.0
66,0.0,0.0
67,2.0,0.0
68,0.0,0.0
69,1.0,0.0
70,1.0,0.0
71,1.0,0.0
72,1.0,0.0
73,2.0,0.0
74,1.0,0.0
75,1.0,0.0
76,2.0,0.0
77,1.0,0.0
78,0.0,0.0
79,1.0,0.0
80,1.0,0.0
81,3.0,0.0
82,0.0,0.0
83,1.0,0.0
84,0.0,0.0
85,2.0,0.0
86,1.0,0.0
87,2.0,0.0
88,1.0,0.0
89,2.0,0.0
90,0.0,0.0
91,0.0,0.0
92,2.0,0.0
93,0.0,0.0
94,2.0,0.0
95,1.0,0.0
96,0.0,0.0
97,2.0,0.0
98,2.0,0.0
99,1.0,0.0
100,1.0,0.0
101,0.0,0.0
102,2.0,0.0
103,1.0,0.0
104,1.0,0.0
105,2.0,0.0
106,0.0,0.0
107,1.0,0.0
108,1.0,0.0
109,0.0,0.0
110,2.0,0.0
111,1.0,0.0
112,2.0,0.0
113,1.0,0.0
114,1.0,0.0
115,1.0,0.0
116,1.0,0.0
117,2.0,0.0
118,0.0,0.0
119,1.0,0.0
120,0.0,0.0
121,1.0,0.0
122,3.0,0.0
123,0.0,0.0
124,2.0,0.0
125,1.0,0.0
126,1.0,0.0
127,2.0,0.0
128,1.0,0.0
129,1.0,0.0
130,1.0,0.0
131,1.0,0.0
132,2.0,0.0
133,0.0,0.0
134,0.0,0.0
135,2.0,0.0
136,0.0,0.0
137,0.0,0.0
138,3.0,0.0
139,1.0,0.0
140,1.0,0.0
141,2.0,0.0
142,0.0,0.0
143,1.0,0.0
144,2.0,0.0
145,1.0,0.0
146,1.0,0.0
